Trigger	Description
orimg	Reading Image Lê a imagem do computador
owimg	Gravar imagem Gravar imagem no computador
odis	Imagem de exibição Imagem de exibição
orvid	Ler vídeo Ler vídeo da câmera ou um arquivo de vídeo
owvid	Gravar Vídeo Gravar Vídeo no computador
oline	Desenhar linha Desenhar linha na imagem
oaline	Desenhe uma linha com setas Desenhe uma linha com setas na imagem
orect	Desenhar Retângulo Desenhar Retângulo na imagem
ocircle	Desenhe um Círculo Desenhe um Círculo na imagem
oellipse	Desenhar Elipse Desenhar Elipse na imagem
opoly	Desenhar polígono fechado Desenhe qualquer polígono na imagem
otext	Escrever texto Coloque qualquer texto na imagem
olistevents	Listando Eventos Liste todos os eventos disponíveis em opencv
ohmevent	Manipulando eventos de mouse Fornece layout básico para lidar com todos os eventos de mouse
octrack	Create Trackbar Cria trackbar em qualquer janela
otrackpos	Obter posição da barra de controle Dá a posição da barra de controle a qualquer momento
ocvtcolor	Converter cor Converte cores de um formato para outro
ohsvcoloriden	Identificar cor usando HSV Identifica qualquer cor na imagem
othresh	Thresholding Retorna uma Imagem Limiar
oathresh	O Limiar Adaptativo Retorna a Imagem Limiar Adaptável
odilate	A imagem dilatada retorna uma imagem dilatada
oerode	Erode Image retorna uma imagem erodida
omorphex	Transformações morfológicas Remove ruídos da imagem, realizando transformações morfológicas nela.
oblur	Desfocar Imagem Usado para desfocar ou suavizar a imagem
ogblur	Desfoque Gaussiano Retorna o desfoque gaussiano de uma imagem
omedblur	Desfoque mediano Usado para suavizar a imagem usando desfoque mediano
obblur	Desfoque bilateral Usado para suavizar a imagem usando desfoque bilateral
olapedge	Detector de Borda Laplaciana Identificação de Borda usando Detector de Borda Laplaciana
osobedge	Detector Sobel Edge Identificação de Borda usando Detector Sobel Edge
ocanny	Identificação Canny Edge Detector Edge usando Canny Edge Detector
ocontours	Contornos Identifica e desenha contornos na imagem
oshapedetect	Detecção de formas Detecta as formas presentes na imagem e grava o nome da forma na imagem.
omatchtem	A correspondência do modelo corresponde ao modelo em qualquer imagem principal e desenha um retângulo ao redor do modelo identificado na imagem principal
ohough	Hough Line Transformation Detecta linhas retas de comprimento infinito na imagem.
ophough	Transformação Probabilística de Linha Hough Detecta linhas retas de comprimento finito na imagem.
ohaarc	Classificador Haar Cascades Fornece Layout para Usar Classificador Haar Cascades
oharrisc	Harris Corner Detector Detecta canto na imagem dada (Harris Corner Detector)
ogoodf	Detector de canto Shi-Tomasi Detecta o número desejado de cantos na imagem dada (detector de canto Shi-Tomasi)
opers	Transformação de perspectiva Retorna a transformação de perspectiva da imagem
oaffn	Affine Transformation Retorna a Affine Transformation da imagem
orotate	Girar imagem Roda a imagem no ângulo desejado
